primary_name,Customer Type,Period Name,Food Type,Week Name,Total Amount,Slot Timing From,Slot Timing To,city
"Sector 11, Belapur",Adult,Lunch,VEG,MONDAY,899,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,MONDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,MONDAY,999,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Dinner,VEG,TUESDAY,499,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Lunch,VEG,TUESDAY,499,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,NON-VEG,TUESDAY,999,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,VEG,TUESDAY,899,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,TUESDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,TUESDAY,999,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Dinner,VEG,WEDNESDAY,499,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Lunch,VEG,WEDNESDAY,499,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,NON-VEG,WEDNESDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,VEG,WEDNESDAY,999,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,WEDNESDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,WEDNESDAY,999,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Dinner,VEG,THURSDAY,499,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Lunch,VEG,THURSDAY,499,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,NON-VEG,THURSDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,VEG,THURSDAY,999,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,THURSDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,THURSDAY,999,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Dinner,VEG,FRIDAY,499,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Lunch,VEG,FRIDAY,499,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,NON-VEG,FRIDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,VEG,FRIDAY,999,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,FRIDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,FRIDAY,999,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Dinner,VEG,SATURDAY,499,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Child,Lunch,VEG,SATURDAY,499,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,NON-VEG,SATURDAY,1099,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Lunch,VEG,SATURDAY,999,12:00:00,16:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,NON-VEG,SATURDAY,1099,18:30:00,23:00:00,Mumbai
"Sector 11, Belapur",Adult,Dinner,VEG,SATURDAY,999,18:30:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,SUNDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,SUNDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,SUNDAY,1149,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,SUNDAY,1049,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,SUNDAY,1149,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,SUNDAY,1049,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,MONDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,MONDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,MONDAY,1099,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,MONDAY,999,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,MONDAY,1099,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,MONDAY,999,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,TUESDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,TUESDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,TUESDAY,1099,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,TUESDAY,999,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,TUESDAY,1099,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,TUESDAY,999,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,WEDNESDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,WEDNESDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,WEDNESDAY,1099,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,WEDNESDAY,999,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,WEDNESDAY,1099,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,WEDNESDAY,999,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,THURSDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,THURSDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,THURSDAY,1099,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,THURSDAY,999,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,THURSDAY,1099,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,THURSDAY,999,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,FRIDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,FRIDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,FRIDAY,1099,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,FRIDAY,999,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,FRIDAY,1099,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,FRIDAY,999,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Child,Lunch,VEG,SATURDAY,499,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Child,Dinner,VEG,SATURDAY,499,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,NON-VEG,SATURDAY,1149,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Lunch,VEG,SATURDAY,1049,12:00:00,16:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,NON-VEG,SATURDAY,1149,18:00:00,23:00:00,Mumbai
"Atria Mall, Worli",Adult,Dinner,VEG,SATURDAY,1049,18:00:00,23:00:00,Mumbai
Omr,Child,Dinner,VEG,SUNDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Lunch,VEG,SUNDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Lunch,VEG,TUESDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Lunch,VEG,WEDNESDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Lunch,VEG,FRIDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Lunch,VEG,SATURDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Dinner,VEG,TUESDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Dinner,VEG,WEDNESDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Dinner,VEG,FRIDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Dinner,VEG,SATURDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Lunch,VEG,THURSDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Dinner,VEG,THURSDAY,429,18:30:00,23:00:00,Chennai
Omr,Child,Lunch,VEG,MONDAY,429,11:30:00,16:00:00,Chennai
Omr,Child,Dinner,VEG,MONDAY,429,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,SUNDAY,849,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,SUNDAY,899,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,SUNDAY,849,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,SUNDAY,899,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,MONDAY,699,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,MONDAY,749,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,MONDAY,699,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,MONDAY,749,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,TUESDAY,699,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,TUESDAY,749,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,TUESDAY,699,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,TUESDAY,749,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,WEDNESDAY,699,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,WEDNESDAY,749,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,WEDNESDAY,699,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,WEDNESDAY,749,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,THURSDAY,699,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,THURSDAY,749,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,THURSDAY,699,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,THURSDAY,749,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,FRIDAY,699,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,FRIDAY,749,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,FRIDAY,699,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,FRIDAY,749,18:30:00,23:00:00,Chennai
Omr,Adult,Lunch,VEG,SATURDAY,849,11:30:00,18:00:00,Chennai
Omr,Adult,Lunch,NON-VEG,SATURDAY,899,11:30:00,18:00:00,Chennai
Omr,Adult,Dinner,VEG,SATURDAY,849,18:30:00,23:00:00,Chennai
Omr,Adult,Dinner,NON-VEG,SATURDAY,899,18:30:00,23:00:00,Chennai
"Caculo Mall, Panaji",Child,Lunch,VEG,THURSDAY,429,11:30:00,16:00:00,Goa
"Caculo Mall, Panaji",Child,Dinner,VEG,THURSDAY,429,18:00:00,23:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,VEG,THURSDAY,899,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Lunch,NON-VEG,THURSDAY,949,11:30:00,18:00:00,Goa
"Caculo Mall, Panaji",Adult,Dinner,VEG,THURSDAY,899,18:30:00,23:00:00,Goa
